Symbol,Sector,Wt
HDFCBANK,Banks,0.12
RELIANCE,Petroleum Products,0.10
HDFC,Finance,0.09
ICICIBANK,Banks,0.08
INFY,Software,0.07
TCS,Software,0.05
KOTAKBANK,Banks,0.05
ITC,Consumer Non Durables,0.04
AXISBANK,Banks,0.04
HINDUNILVR,Consumer Non Durables,0.04
LT,Construction Project,0.04
SBIN,Banks,0.03
BAJFINANCE,Finance,0.03
BHARTIARTL,Telecom - Services,0.03
MARUTI,Auto,0.02
ASIANPAINT,Consumer Non Durables,0.02
INDUSINDBK,Banks,0.02
HCLTECH,Software,0.01
NESTLEIND,Consumer Non Durables,0.01
TITAN,Consumer Durables,0.01
ULTRACEMCO,Cement,0.01
TECHM,Software,0.01
NTPC,Power,0.01
M&M,Auto,0.01
POWERGRID,Power,0.01
SUNPHARMA,Pharmaceuticals,0.01
BAJAJ-AUTO,Auto,0.01
ONGC,Oil,0.01
TATASTEEL,Ferrous Metals,0.01
HEROMOTOCO,Auto,0.01
